0,1,2
H0UZDBJ2BX1AAO1XSYL9,68.50721036160769,85.80543671976444
5CBGVG5NUHDNJ737ABY3,38.950662386031624,16.831753205066548
OW3TC842SXZNUR3BX7JL,33.725014514957685,63.37406680407865
XIU6L0DUF771K4TWCAJB,40.961823860378665,94.1625115993334
ROCZZH3GKU883JOSXNF5,44.85641476370555,80.75728728698483
SU8R4MJJV8SIJTYUN7AY,48.0992255884507,20.714574464596403
R6J3LQFDW0BCVHFMCB0Q,94.9435017235737,4.283107042249679
GF2H2ME12F85KXI06DBA,39.072344615063614,22.207506262136988
NHNYSMQCH4E6CKK4GCBB,5.630074304178933,47.858950148108136
0QBDXIRWFX56P4ONSZ4O,5.212814324180382,49.31324099216656
0J908J6O23QTWU02JMUN,50.08842688532733,66.36560528184458
A7GG9JZ4B7F3EZN8O2WZ,89.07903851467557,41.47896240436424
BYFBM3RP2LQNC3ML0OO7,83.9763249635298,38.463829134063296
MAAD0Q0MIG4AS8D20H2V,74.49345660993495,68.34894189730073
QXSVWS79QT4AX0E439H3,7.244524326474067,65.79338810423967
