LXHG4NLPN9POLAHUNYLR,823810051,2009414343,831026655,2100509004,267776600,602040956,1488543326,874124512,754088303,1968199179
G6MMDMAGPMB9HCH7DXO0,2066651596,779779164,910605287,781533463,1735262087,209333208,1951923541,1479708889,972321148,962832565
EDMUG2EZURTM5UOLHYMA,1868824976,542214870,1314989639,39831059,77566305,578141360,226221739,2124801951,1090339294,416287878
D9530PKHRIVOK0RH0N9G,1958076748,310754452,386241744,1882015421,1742131277,1826416955,250644322,1201296261,1300756706,1864246986
PD01LI0F1FRPCU25COTW,679526091,2127543003,2015048144,247956193,1043004830,1334163585,1095718552,1102142346,1253480021,1569969397
2X5FDZ5UP254D1TM3CK3,1040685156,1589095023,2137273740,1366820423,284381750,1234570155,231477157,127246168,294825283,1317887748
OJ8ACPLC5XO485U4IF0W,1308203992,627146129,1604671717,1699229535,1372303223,585357730,1521229177,988340575,1591794165,1565948420
IHSQP4FEGURUJDNDMZNZ,1052469253,743728414,107192092,170825756,48967660,315938619,1578261654,1356420002,1402131142,1836055033
PCMAOSBJYLKEJ7VGOS2O,848837280,1549136295,1260747032,431587645,230098372,1320588073,1146383887,2108132013,799779194,326924310
ZNQ24QE99IX6GXYJ7AMR,471751210,645023551,1154982357,491797122,558802391,1807190194,1868482374,829501962,178798722,2095593405
ZEWVI2IGED9W6GC1NTCI,922279706,1015253082,1956715002,494591536,336505118,1043590117,592579963,367540110,1372520340,281684970
R7DG36SLUVOQ1OXPE9L5,745162330,627326926,427716203,379698942,1321337311,644795527,1407814997,796477904,224688195,1434825913
2EAWIIF4C7A6PR7KP8EB,819095632,1745051861,983573346,859222355,1146753189,388175190,784280138,500447929,1670919436,279653904
7VPS4H0GI4HB30087VG8,1822181588,1956084969,1391206928,1197268352,191218023,614539849,930882865,1288257579,1735505747,826365673
XSHJ4XOBTN1FZJEPUOQS,1491679386,1789927843,623197002,1306357961,1385848361,629413427,340007705,1763412708,1341332153,1812452574
